home_team,away_team,home_score,away_score,season_year,Date_day,Date_hour,first_half,second_half,home_team_goals_current_time,home_team_goals_current_score,home_team_goals,home_team_goals_assist,away_team_goals_current_time,away_team_goals_current_score,away_team_goals,away_team_goals_assist,home_team_yellow_card_current_time,home_team_yellow_card,home_team_yellow_card_why,away_team_yellow_card_current_time,away_team_yellow_card,away_team_yellow_card_why,home_team_red_card_current_time,home_team_red_card,home_team_red_card_why,away_team_red_card_current_time,away_team_red_card,away_team_red_card_why,home_team_substitutions_current_time,home_team_substitutions,home_team_substitutions_with,home_team_substitution_why,away_team_substitutions_current_time,away_team_substitutions,away_team_substitutions_with,away_team_substitution_why,expected_goals_xg_home,expected_goals_xg_host,Ball_Possession_Home,Ball_Possession_Host,Goal_Attempts_Home,Goal_Attempts_Host,Shots_on_Goal_Home,Shots_on_Goal_Host,Shots_off_Goal_Home,Shots_off_Goal_Host,Free_Kicks_Home,Free_Kicks_Host,Corner_Kicks_Home,Corner_Kicks_Host,Offsides_Home,Offsides_Host,Throw_ins_Home,Throw_ins_Host,Goalkeeper_Saves_Home,Goalkeeper_Saves_Host,Fouls_Home,Fouls_Host,Red_Cards_Home,Red_Cards_Host,Yellow_Cards_Home,Yellow_Cards_Host,Total_Passes_Home,Total_Passes_Host,Completed_Passes_Home,Completed_Passes_Host,Attacks_Home,Attacks_Host,Dangerous_Attacks_Home,Dangerous_Attacks_Host,Distance_Covered_(km)_Home,Distance_Covered_(km)_Host,referee,venue,capacity,attendance
Union Berlin,Bochum,3,4,2023/2024,5.05,16:30,"""0 - 3""","""3 - 1""","[""59'"", ""62'"", ""74'""]","['1 - 3', '2 - 3', '3 - 4']","['Vertessen Y.', 'Bedia C.', 'Hollerbach B.']","['(Gosens R.)', '(Schafer A.)', '(Aaronson B.)']","[""16'"", ""31'"", ""37'"", ""70'""]","['0 - 1', '0 - 2', '0 - 3', '2 - 4']","['Wittek M.', 'Wittek M.', 'Schlotterbeck K.', 'Hofmann P.']","['(Broschinski M.)', '(Osterhage P.)', '(Passlack F.)', '(Passlack F.)']",,,,"[""90+5'""]",['Gamboa C.'],['(Tripping)'],,,,,,,"[""46'"", ""46'"", ""46'"", ""70'"", ""88'""]","['Vertessen Y.', 'Aaronson B.', 'Bedia C.', 'Kral A.', 'Knoche R.']","['Vogt K.', 'Volland K.', 'Tousart L.', 'Schafer A.', 'Khedira R.']","['-', '-', '-', '-', '-']","[""67'"", ""67'"", ""79'"", ""79'"", ""88'""]","['Antwi-Adjei C.', 'Oermann T.', 'Masovic E.', 'Daschner L.', 'Gamboa C.']","['Broschinski M.', 'Wittek M.', 'Bero M.', 'Hofmann P.', 'Passlack F.']","['-', '-', '-', '-', '-']",1.49,1.59,50%,50%,12,17,6,5,6,12,15,14,6,4,1,0,30,35,1,3,13,16,,,0,1,281,298,208,230,112,113,42,42,117,114,Fritz M.  (Ger),Stadion An der Alten Försterei  (Berlin),22 012,22 012
FC Koln,Freiburg,0,0,2023/2024,4.05,19:30,"""0 - 0""","""0 - 0""",,,,,,,,,"[""74'""]",['Finkgrafe M.'],['(Holding)'],"[""51'""]",['Kubler L.'],['(Tripping)'],,,,,,,"[""57'"", ""57'"", ""68'"", ""84'"", ""84'""]","['Tigges S.', 'Heintz D.', 'Kainz F.', 'Diehl J.', 'Adamyan S.']","['Thielmann J.', 'Chabot J.', 'Maina L.', 'Alidou F.', 'Waldschmidt L.']","['-', '-', '-', '-', '-']","[""78'"", ""78'"", ""89'"", ""89'""]","['Philipp M.', 'Makengo J.', 'Muslija F.', 'Adamu J.']","['Sallai R.', 'Gunter C.', 'Grifo V.', 'Gregoritsch M.']","['-', '-', '-', '-']",1.11,0.43,55%,45%,20,4,7,0,13,4,9,11,7,1,0,0,33,16,0,7,10,9,,,1,1,459,371,367,289,133,90,61,33,117,112,Storks S.  (Ger),RheinEnergieStadion  (Cologne),50 000,50 000
Dortmund,Augsburg,5,1,2023/2024,4.05,16:30,"""4 - 1""","""1 - 0""","[""4'"", ""20'"", ""29'"", ""34'"", ""64'""]","['1 - 0', '2 - 0', '3 - 0', '4 - 1', '5 - 1']","['Moukoko Y.', 'Malen D.', 'Moukoko Y.', 'Reus M.', 'Nmecha F.']","['-', '(Gittens J.)', '(Reus M.)', '(Watjen K.)', '(Reus M.)']","[""32'""]",['3 - 1'],['Vargas R.'],['(Maier A.)'],,,,"[""10'""]",['Bauer M.'],['(Tripping)'],,,,,,,"[""63'"", ""63'"", ""63'"", ""66'"", ""73'""]","['Schlotterbeck N.', 'Adeyemi K.', 'Ozcan S.', 'Brandt J.', 'Sabitzer M.']","['Morey Bauza M.', 'Malen D.', 'Wolf M.', 'Reus M.', 'Nmecha F.']","['-', '-', '-', '-', '-']","[""67'"", ""67'"", ""67'"", ""73'"", ""77'""]","['Dorsch N.', 'Beljo D.', 'Pfeiffer P.', 'Komur M.', 'Engels A.']","['Vargas R.', 'Tietz P.', 'Bauer M.', 'Maier A.', 'Breithaupt T.']","['-', '-', '-', '-', '-']",4.27,2.25,58%,42%,21,20,10,4,11,16,11,5,6,9,1,0,8,10,3,5,4,11,,,0,1,579,367,521,316,81,83,38,60,115,115,Schroder R.  (Ger),Signal Iduna Park  (Dortmund),81 365,81 365
Stuttgart,Bayern Munich,3,1,2023/2024,4.05,16:30,"""1 - 1""","""2 - 0""","[""29'"", ""83'"", ""90+3'""]","['1 - 0', '2 - 1', '3 - 1']","['Stergiou L.', 'Jeong Woo-Yeong', 'Silas']","['(Undav D.)', '(Silas)', '(Guirassy S.)']","[""37'""]",['1 - 1'],['Kane H.'],['(Penalty)'],"[""24'""]",['Anton W.'],['(Holding)'],"[""20'"", ""78'"", ""90+4'""]","['Dier E.', 'Pavlovic A.', 'Tuchel T.']","['(Roughing)', '(Holding)', '(Not on pitch)']",,,,,,,"[""72'"", ""72'"", ""79'"", ""90+2'""]","['Dahoud M.', 'Jeong Woo-Yeong', 'Silas', 'Raimund L.']","['Rouault A.', 'Fuhrich C.', 'Leweling J.', 'Undav D.']","['-', '-', '-', '-']","[""17'"", ""46'"", ""64'"", ""64'"", ""72'""]","['Goretzka L.', 'Upamecano D.', 'Zaragoza B.', 'Mazraoui N.', 'Sane L.']","['Guerreiro R.', 'Dier E.', 'Gnabry S.', 'Kimmich J.', 'Tel M.']","['(Injury)', '-', '-', '-', '-']",1.97,1.56,56%,44%,24,10,11,3,13,7,7,12,3,1,3,0,20,13,2,8,10,8,,,1,2,659,424,600,365,153,42,54,15,112,109,Welz T.  (Ger),MHPArena  (Stuttgart),60 449,60 000
Werder Bremen,B. Monchengladbach,2,2,2023/2024,4.05,16:30,"""1 - 1""","""1 - 1""","[""45'"", ""65'""]","['1 - 1', '2 - 1']","['Woltemade N.', 'Woltemade N.']","['(Bittencourt L.)', '(Ducksch M.)']","[""8'"", ""90+1'""]","['0 - 1', '2 - 2']","['Hack R.', 'Neuhaus F.']","['(Reitz R.)', '(Penalty)']",,,,,,,,,,,,,"[""76'"", ""76'"", ""84'"", ""90+2'""]","['Stark N.', 'Stage J.', 'Deman O.', 'Kownacki D.']","['Jung A.', 'Woltemade N.', 'Bittencourt L.', 'Ducksch M.']","['-', '-', '-', '-']","[""46'"", ""71'"", ""71'"", ""71'"", ""79'""]","['Cvancara T.', 'Ngoumou N.', 'Lainer S.', 'Neuhaus F.', 'Siebatcheu J.']","['Plea A.', 'Kone M.', 'Friedrich M.', 'Honorat F.', 'Reitz R.']","['-', '-', '-', '-', '-']",1.85,1.95,55%,45%,17,17,6,7,11,10,8,7,7,2,2,1,13,10,5,4,6,7,,,,,627,476,546,400,130,96,53,37,119,117,Gerach T.  (Ger),Weserstadion  (Bremen),42 100,42 100
Wolfsburg,Darmstadt,3,0,2023/2024,4.05,16:30,"""2 - 0""","""1 - 0""","[""8'"", ""11'"", ""90+3'""]","['1 - 0', '2 - 0', '3 - 0']","['Wimmer P.', 'Wind J.', 'Cerny V.']","['-', '(Majer L.)', '(Kaminski J.)']",,,,,,,,"[""7'"", ""32'"", ""90+1'""]","['Muller A.', 'Maglica M.', 'Zimmermann C.']","['(Tripping)', '(Roughing)', '(Roughing, misses next match)']",,,,,,,"[""65'"", ""66'"", ""82'"", ""82'"", ""90+2'""]","['Kaminski J.', 'Zesiger C.', 'Behrens K.', 'Cerny V.', 'Tomas T.']","['Baku R.', 'Wimmer P.', 'Wind J.', 'Paredes K.', 'Majer L.']","['-', '-', '-', '-', '-']","[""34'"", ""46'"", ""60'"", ""85'"", ""85'""]","['Muller J.', 'Seydel A.', 'Honsak M.', 'Schnellhardt F.', 'Arania A.']","['Maglica M.', 'Muller A.', 'Vilhelmsson O.', 'Justvan J.', 'Karic E.']","['(Injury)', '-', '-', '-', '-']",1.94,0.39,53%,47%,18,6,6,1,12,5,13,8,9,2,0,4,24,14,1,3,11,13,,,0,3,527,462,459,388,83,69,58,40,119,116,Hartmann R.  (Ger),Volkswagen Arena  (Wolfsburg),28 917,23 108
Hoffenheim,RB Leipzig,1,1,2023/2024,3.05,21:30,"""0 - 1""","""1 - 0""","[""90'""]",['1 - 1'],['Kramaric A.'],['(Bulter M.)'],"[""38'""]",['0 - 1'],['Sesko B.'],['(Raum D.)'],"[""69'""]",['Kabak O.'],['(Tripping)'],"[""55'"", ""86'""]","['Simons X.', 'Raum D.']","['(Delay of game)', '(Delay of game)']",,,,"[""72'""]",['Simons X.'],['(Tripping)'],"[""67'"", ""79'"", ""79'"", ""90+2'""]","['Jurasek D.', 'Bischof T.', 'Moerstedt M.', 'Conte B.']","['Beier M.', 'Stach A.', 'Kabak O.', 'Bebou I.']","['-', '-', '-', '-']","[""16'"", ""59'"", ""77'"", ""77'"", ""77'""]","['Seiwald N.', 'Baumgartner C.', 'Simakan M.', 'Poulsen Y.', 'Kampl K.']","['Schlager X.', 'Sesko B.', 'Olmo D.', 'Openda L.', 'Haidara A.']","['(Injury)', '-', '-', '-', '-']",1.66,0.86,55%,45%,18,8,8,5,10,3,12,6,4,4,0,4,17,17,4,7,6,8,0,1,1,3,578,473,520,407,136,87,74,29,125,117,Osmers H.  (Ger),PreZero Arena  (Sinsheim),30 150,25 066
Darmstadt,Heidenheim,0,1,2023/2024,28.04,20:30,"""0 - 0""","""0 - 1""",,,,,"[""90'""]",['0 - 1'],['Dovedan N.'],['(Kuhlwetter C.)'],"[""52'"", ""60'""]","['Karic E.', 'Kempe T.']","['(Tripping)', '(Roughing)']","[""43'""]",['Gimber B.'],['(Elbowing)'],,,,,,,"[""63'"", ""80'"", ""80'""]","['Justvan J.', 'Honsak M.', 'Holtmann G.']","['Kempe T.', 'Karic E.', 'Vilhelmsson O.']","['-', '-', '-']","[""69'"", ""69'"", ""83'"", ""90+4'""]","['Thomalla D.', 'Dovedan N.', 'Kuhlwetter C.', 'Pick F.']","['Pieringer M.', 'Sessa K.', 'Dinkci E.', 'Beste J.']","['-', '-', '-', '-']",0.77,2.13,47%,53%,12,19,4,6,8,13,14,16,3,8,1,2,17,32,5,4,14,12,,,2,1,365,432,287,342,127,98,29,44,116,116,Dankert B.  (Ger),Merck-Stadion am Bollenfalltor  (Darmstadt),17 810,17 416
Mainz,FC Koln,1,1,2023/2024,28.04,18:30,"""1 - 0""","""0 - 1""","[""29'""]",['1 - 0'],['Barreiro L.'],['-'],"[""90+5'""]",['1 - 1'],['Kainz F.'],['(Penalty)'],"[""28'"", ""70'"", ""83'"", ""87'""]","['Caci A.', 'Hanche-Olsen A.', 'Amiri N.', 'Gruda B.']","['(Roughing)', '(Unsportsmanlike conduct)', '(Roughing, misses next match)', '(Roughing, misses next match)']","[""28'"", ""66'"", ""66'"", ""76'""]","['Alidou F.', 'Chabot J.', 'Uth M.', 'Schmitz B.']","['(Roughing)', '(Roughing)', '(Unsportsmanlike conduct)', '(Tripping)']","[""90+9'""]",['Mwene P.'],['(Serious foul)'],,,,"[""56'"", ""64'"", ""87'""]","['Widmer S.', 'Fernandes E.', 'Ajorque L.']","['Onisiwo K.', 'Caci A.', 'Gruda B.']","['(Injury)', '-', '-']","[""62'"", ""62'"", ""62'"", ""72'"", ""83'""]","['Uth M.', 'Downs D.', 'Maina L.', 'Kainz F.', 'Adamyan S.']","['Waldschmidt L.', 'Tigges S.', 'Thielmann J.', 'Huseinbasic D.', 'Alidou F.']","['-', '-', '-', '-', '-']",2.25,3.03,46%,54%,16,16,4,6,12,10,14,16,6,6,1,1,24,26,5,3,17,13,1,0,4,4,244,381,159,305,103,99,54,55,118,118,Brand B.  (Ger),Mewa Arena  (Mainz),34 000,33 000
B. Monchengladbach,Union Berlin,0,0,2023/2024,28.04,16:30,"""0 - 0""","""0 - 0""",,,,,,,,,"[""46'"", ""89'""]","['Lainer S.', 'Reitz R.']","['(Roughing)', '(Unsportsmanlike conduct)']","[""44'"", ""48'""]","['Vogt K.', 'Khedira R.']","['(Holding)', '(Roughing)']",,,,,,,"[""66'"", ""66'"", ""80'"", ""80'"", ""88'""]","['Netz L.', 'Ngoumou N.', 'Kone M.', 'Honorat F.', 'Siebatcheu J.']","['Lainer S.', 'Cvancara T.', 'Chiarodia F. C.', 'Hack R.', 'Plea A.']","['-', '-', '-', '-', '-']","[""46'"", ""46'"", ""74'"", ""87'"", ""87'""]","['Schafer A.', 'Knoche R.', 'Hollerbach B.', 'Trimmel C.', 'Kaufmann M.']","['Vertessen Y.', 'Vogt K.', 'Aaronson B.', 'Juranovic J.', 'Volland K.']","['-', '-', '-', '-', '-']",0.97,0.93,52%,48%,13,14,4,7,9,7,12,3,3,4,0,0,28,25,7,4,3,13,,,2,2,512,495,406,402,91,146,49,52,117,120,Stegemann S.  (Ger),Borussia-Park  (Mönchengladbach),54 042,53 723
Bayer Leverkusen,Stuttgart,2,2,2023/2024,27.04,19:30,"""0 - 0""","""2 - 2""","[""61'"", ""90+6'""]","['1 - 2', '2 - 2']","['Adli A.', 'Andrich R.']","['(Grimaldo A.)', '(Hincapie P.)']","[""47'"", ""57'""]","['0 - 1', '0 - 2']","['Fuhrich C.', 'Undav D.']","['-', '-']","[""31'"", ""41'"", ""58'"", ""70'"", ""83'""]","['Palacios E.', 'Kossounou O.', 'Andrich R.', 'Alonso X.', 'Hincapie P.']","['(Roughing)', '(Holding)', '(Roughing)', '(Not on pitch)', '(Foul)']","[""42'"", ""69'"", ""70'"", ""77'""]","['Undav D.', 'Millot E.', 'Hoeness S.', 'Mittelstadt M.']","['(Unsportsmanlike conduct)', '(Tripping, misses next match)', '(Not on pitch)', '(Tripping, misses next match)']",,,,,,,"[""46'"", ""74'"", ""74'"", ""89'"", ""89'""]","['Hincapie P.', 'Boniface V.', 'Wirtz F.', 'Tella N.', 'Stanisic J.']","['Tah J.', 'Schick P.', 'Hofmann J.', 'Frimpong J.', 'Grimaldo A.']","['-', '-', '-', '-', '-']","[""74'"", ""74'"", ""81'"", ""81'"", ""90+2'""]","['Jeong Woo-Yeong', 'Dahoud M.', 'Rouault A.', 'Silas', 'Stenzel P.']","['Undav D.', 'Millot E.', 'Stergiou L.', 'Fuhrich C.', 'Leweling J.']","['-', '-', '-', '-', '-']",1.32,1.76,45%,55%,14,11,6,4,8,7,21,9,5,2,1,2,17,17,2,4,10,19,,,4,3,488,510,386,430,102,106,68,26,117,117,Zwayer F.  (Ger),BayArena  (Leverkusen),30 210,30 210
Augsburg,Werder Bremen,0,3,2023/2024,27.04,16:30,"""0 - 0""","""0 - 3""",,,,,"[""52'"", ""61'"", ""90'""]","['0 - 1', '0 - 2', '0 - 3']","['Schmid R.', 'Ducksch M.', 'Deman O.']","['(Ducksch M.)', '(Penalty)', '(Weiser M.)']","[""64'""]",['Jakic K.'],"['(Tripping, misses next match)']","[""5'"", ""63'""]","['Friedl M.', 'Woltemade N.']","['(Roughing)', '(Roughing)']",,,,,,,"[""46'"", ""61'"", ""61'"", ""72'"", ""72'""]","['Pfeiffer P.', 'Michel S.', 'Biel P.', 'Beljo D.', 'Dorsch N.']","['Engels A.', 'Tietz P.', 'Vargas R.', 'Jakic K.', 'Maier A.']","['-', '-', '-', '-', '-']","[""80'"", ""80'"", ""88'"", ""90+1'""]","['Gross C.', 'Kownacki D.', 'Deman O.', 'Stark N.']","['Bittencourt L.', 'Ducksch M.', 'Woltemade N.', 'Lynen S.']","['-', '-', '-', '-']",1.12,2.28,56%,44%,14,16,1,8,13,8,10,20,6,4,3,2,19,20,5,1,18,8,,,1,2,380,318,312,255,119,76,56,45,111,112,Welz T.  (Ger),WWK Arena  (Augsburg),30 660,30 660
Bayern Munich,Eintracht Frankfurt,2,1,2023/2024,27.04,16:30,"""1 - 1""","""1 - 0""","[""9'"", ""61'""]","['1 - 0', '2 - 1']","['Kane H.', 'Kane H.']","['(Laimer K.)', '(Penalty)']","[""23'""]",['1 - 1'],['Ekitike H.'],['(Pacho W.)'],,,,"[""60'"", ""62'"", ""62'""]","['Koch R.', 'Skhiri E.', 'Gotze M.']","['(Elbowing)', '(Unsportsmanlike conduct)', '(Foul, misses next match)']",,,,,,,"[""28'"", ""46'"", ""69'"", ""69'"", ""81'""]","['Pavlovic A.', 'Kim Min-Jae', 'Tel M.', 'Davies A.', 'Zvonarek L.']","['Laimer K.', 'de Ligt M.', 'Kimmich J.', 'Mazraoui N.', 'Guerreiro R.']","['(Injury)', '-', '-', '-', '-']","[""69'"", ""70'"", ""77'"", ""77'"", ""88'""]","['Bahoya J.', 'Nkounkou N.', 'van de Beek D.', 'Larsson H.', 'Chandler T.']","['Ekitike H.', 'Dina Ebimbe J.', 'Buta', 'Gotze M.', 'Skhiri E.']","['-', '-', '-', '-', '-']",3.82,0.46,61%,39%,19,10,9,3,10,7,9,12,4,2,1,2,5,2,2,7,11,7,,,0,3,673,417,611,351,139,98,63,38,118,119,Schlager D.  (Ger),Allianz Arena  (Munich),75 024,75 000
Freiburg,Wolfsburg,1,2,2023/2024,27.04,16:30,"""1 - 0""","""0 - 2""","[""42'""]",['1 - 0'],['Bornauw S.'],['(Own goal)'],"[""82'"", ""90'""]","['1 - 1', '1 - 2']","['Arnold M.', 'Lacroix M.']","['-', '(Arnold M.)']","[""55'"", ""67'"", ""73'"", ""90+2'""]","['Gregoritsch M.', 'Sallai R.', 'Hofler N.', 'Holer L.']","['(Roughing)', '(Foul)', '(Roughing, misses next match)', '(Tripping)']","[""62'"", ""90+3'""]","['Arnold M.', 'Bornauw S.']","['(Roughing)', '(Delay of game, misses next match)']","[""64'""]",['Sildillia K.'],['(Tripping)'],,,,"[""72'"", ""72'"", ""90+2'"", ""90+5'""]","['Makengo J.', 'Holer L.', 'Weisshaupt N.', 'Muslija F.']","['Grifo V.', 'Gregoritsch M.', 'Gunter C.', 'Eggestein M.']","['-', '-', '-', '-']","[""46'"", ""46'"", ""46'"", ""69'"", ""90+5'""]","['Wimmer P.', 'Paredes K.', 'Maehle J.', 'Svanberg M.', 'Behrens K.']","['Tomas T.', 'Zesiger C.', 'Fischer K.', 'Vranckx A.', 'Wind J.']","['-', '-', '-', '(Injury)', '-']",1.76,0.61,50%,50%,16,13,3,5,13,8,9,16,3,6,3,3,17,15,3,2,12,7,1,0,4,2,398,383,319,306,101,76,51,38,107,113,Willenborg F.  (Ger),Europa-Park Stadion  (Freiburg),34 700,32 800
RB Leipzig,Dortmund,4,1,2023/2024,27.04,16:30,"""2 - 1""","""2 - 0""","[""23'"", ""45+2'"", ""46'"", ""80'""]","['1 - 1', '2 - 1', '3 - 1', '4 - 1']","['Openda L.', 'Sesko B.', 'Simakan M.', 'Baumgartner C.']","['(Simons X.)', '-', '(Openda L.)', '(Henrichs B.)']","[""20'""]",['0 - 1'],['Sancho J.'],['-'],"[""37'""]",['Simakan M.'],['(Unsportsmanlike conduct)'],"[""37'"", ""76'""]","['Sancho J.', 'Schlotterbeck N.']","['(Unsportsmanlike conduct)', '(Tripping)']",,,,,,,"[""52'"", ""70'"", ""87'"", ""87'"", ""88'""]","['Henrichs B.', 'Baumgartner C.', 'Seiwald N.', 'Kampl K.', 'Klostermann L.']","['Simakan M.', 'Sesko B.', 'Haidara A.', 'Schlager X.', 'Openda L.']","['(Injury)', '-', '-', '-', '-']","[""46'"", ""51'"", ""63'"", ""71'""]","['Reus M.', 'Sule N.', 'Gittens J.', 'Moukoko Y.']","['Adeyemi K.', 'Hummels M.', 'Ozcan S.', 'Ryerson J.']","['-', '(Injury)', '-', '-']",3.19,1.66,39%,61%,21,12,7,5,14,7,9,12,5,8,0,1,14,14,4,3,11,7,,,1,2,336,549,289,490,84,98,39,52,113,111,Aytekin D.  (Ger),Red Bull Arena  (Leipzig),47 069,47 069
Bochum,Hoffenheim,3,2,2023/2024,26.04,21:30,"""2 - 0""","""1 - 2""","[""34'"", ""45+2'"", ""64'""]","['1 - 0', '2 - 0', '3 - 0']","['Stoger K.', 'Passlack F.', 'Stoger K.']","['-', '-', '-']","[""73'"", ""84'""]","['3 - 1', '3 - 2']","['Kramaric A.', 'Kramaric A.']","['(Jurasek D.)', '(Grillitsch F.)']","[""30'""]",['Losilla A.'],"['(Tripping, misses next match)']","[""33'""]",['Tohumcu U.'],"['(Tripping, misses next match)']",,,,,,,"[""76'"", ""88'"", ""88'"", ""90+5'""]","['Asano T.', 'Masovic E.', 'Daschner L.', 'Gamboa C.']","['Wittek M.', 'Bero M.', 'Hofmann P.', 'Passlack F.']","['-', '-', '-', '-']","[""46'"", ""46'"", ""56'"", ""69'"", ""69'""]","['Stach A.', 'Becker F. O.', 'Jurasek D.', 'Bulter M.', 'Bebou I.']","['Tohumcu U.', 'Promel G.', 'Skov R.', 'Beier M.', 'Weghorst W.']","['-', '-', '-', '-', '-']",3.92,2.18,47%,53%,35,12,13,4,22,8,14,13,10,4,2,4,21,15,2,10,13,10,,,1,1,333,452,233,334,113,87,67,35,120,119,Stieler T.  (Ger),Vonovia Ruhrstadion  (Bochum),26 000,24 300
Freiburg,Mainz,1,1,2023/2024,21.04,20:30,"""1 - 1""","""0 - 0""","[""6'""]",['1 - 0'],['Gregoritsch M.'],['(Doan R.)'],"[""40'""]",['1 - 1'],['Burkardt J.'],['(Caci A.)'],"[""31'"", ""42'"", ""70'""]","['Kubler L.', 'Hofler N.', 'Holer L.']","['(Roughing, misses next match)', '(Unsportsmanlike conduct)', '(Roughing)']","[""35'"", ""62'"", ""71'"", ""85'""]","['Lee Jae-Sung', 'Krauss T.', 'Caci A.', 'van den Berg S.']","['(Foul)', '(Roughing, misses next match)', '(Diving)', '(Foul)']",,,,,,,"[""56'"", ""56'"", ""85'""]","['Rohl M.', 'Makengo J.', 'Adamu J.']","['Grifo V.', 'Gunter C.', 'Holer L.']","['-', '-', '-']","[""46'"", ""73'"", ""86'""]","['Krauss T.', 'Onisiwo K.', 'Widmer S.']","['Barreiro L.', 'Gruda B.', 'Caci A.']","['-', '-', '-']",1.35,1.55,41%,59%,7,17,3,4,4,13,16,18,2,4,1,1,15,21,3,2,17,15,,,3,4,333,544,246,441,80,125,25,73,116,117,Fritz M.  (Ger),Europa-Park Stadion  (Freiburg),34 700,34 300
Dortmund,Bayer Leverkusen,1,1,2023/2024,21.04,18:30,"""0 - 0""","""1 - 1""","[""81'""]",['1 - 0'],['Fullkrug N.'],['(Sabitzer M.)'],"[""90+7'""]",['1 - 1'],['Stanisic J.'],['(Wirtz F.)'],"[""37'"", ""45+2'"", ""45+3'"", ""88'""]","['Maatsen I.', 'Can E.', 'Fullkrug N.', 'Schlotterbeck N.']","['(Tripping, misses next match)', '(Unsportsmanlike conduct, misses next match)', '(Elbowing)', '(Unsportsmanlike conduct)']","[""28'"", ""88'"", ""90+1'""]","['Tella N.', 'Frimpong J.', 'Xhaka G.']","['(Tripping)', '(Unsportsmanlike conduct)', '(Unsportsmanlike conduct, misses next match)']",,,,,,,"[""46'"", ""69'"", ""69'"", ""83'"", ""83'""]","['Wolf M.', 'Nmecha F.', 'Reus M.', 'Ozcan S.', 'Duranville J.']","['Maatsen I.', 'Can E.', 'Sancho J.', 'Brandt J.', 'Gittens J.']","['-', '-', '-', '-', '-']","[""70'"", ""83'"", ""83'""]","['Wirtz F.', 'Schick P.', 'Boniface V.']","['Tella N.', 'Hofmann J.', 'Hincapie P.']","['-', '-', '-']",0.92,1.01,51%,49%,9,13,2,5,7,8,14,14,2,6,0,4,13,13,4,1,14,11,,,4,3,496,526,417,463,84,107,40,82,120,118,Siebert D.  (Ger),Signal Iduna Park  (Dortmund),81 365,81 365
Werder Bremen,Stuttgart,2,1,2023/2024,21.04,16:30,"""1 - 0""","""1 - 1""","[""28'"", ""49'""]","['1 - 0', '2 - 0']","['Ducksch M.', 'Ducksch M.']","['(Penalty)', '(Schmid R.)']","[""71'""]",['2 - 1'],['Undav D.'],['-'],"[""51'"", ""68'"", ""73'""]","['Bittencourt L.', 'Zetterer M.', 'Agu F.']","['(Holding)', '(Unsportsmanlike conduct)', '(Holding)']","[""27'"", ""35'"", ""53'""]","['Leweling J.', 'Millot E.', 'Stiller A.']","['(Foul)', '(Unsportsmanlike conduct)', '(Tripping, misses next match)']",,,,,,,"[""83'"", ""83'"", ""90'"", ""90+10'""]","['Gross C.', 'Kownacki D.', 'Deman O.', 'Malatini J.']","['Bittencourt L.', 'Woltemade N.', 'Ducksch M.', 'Schmid R.']","['-', '-', '-', '-']","[""46'"", ""46'"", ""65'"", ""65'"", ""90+8'""]","['Fuhrich C.', 'Stenzel P.', 'Dahoud M.', 'Silas', 'Jeong Woo-Yeong']","['Millot E.', 'Stergiou L.', 'Karazor A.', 'Leweling J.', 'Stiller A.']","['-', '-', '-', '-', '-']",1.54,2.13,38%,62%,9,14,2,5,7,9,12,11,1,7,0,3,11,19,4,0,11,10,,,3,3,304,734,249,653,83,141,28,68,118,117,Schroder R.  (Ger),Weserstadion  (Bremen),42 100,42 100
Union Berlin,Bayern Munich,1,5,2023/2024,20.04,19:30,"""0 - 2""","""1 - 3""","[""90+1'""]",['1 - 5'],['Vertessen Y.'],['(Gosens R.)'],"[""29'"", ""45+1'"", ""53'"", ""62'"", ""66'""]","['0 - 1', '0 - 2', '0 - 3', '0 - 4', '0 - 5']","['Goretzka L.', 'Kane H.', 'Muller T.', 'Tel M.', 'Muller T.']","['(Tel M.)', '-', '(Choupo-Moting E. M.)', '(Kane H.)', '(Goretzka L.)']","[""45+1'""]",['Bjelica N.'],['(Not on pitch)'],,,,,,,,,,"[""59'"", ""59'"", ""59'"", ""59'"", ""70'""]","['Vertessen Y.', 'Laidouni A.', 'Kaufmann M.', 'Juranovic J.', 'Knoche R.']","['Hollerbach B.', 'Schafer A.', 'Leite D.', 'Trimmel C.', 'Volland K.']","['-', '-', '-', '-', '-']","[""59'"", ""70'"", ""71'"", ""71'"", ""84'""]","['Upamecano D.', 'Mazraoui N.', 'Laimer K.', 'Zaragoza B.', 'Zvonarek L.']","['Kim Min-Jae', 'Kimmich J.', 'Goretzka L.', 'Choupo-Moting E. M.', 'Muller T.']","['-', '-', '-', '-', '-']",0.83,1.32,40%,60%,15,18,4,9,11,9,6,8,5,3,3,2,19,7,4,3,5,4,,,,,396,723,333,665,56,130,36,79,124,118,Jablonski S.  (Ger),Stadion An der Alten Försterei  (Berlin),22 012,22 012
